Date,TradeStat,Sector,Measure,Value
1997-08-01,A,TBS,WMF,321.47825033
1997-08-01,A,TBS,N,
1997-08-01,A,TBS,R,
1997-08-01,H,GT,WMF,-72.3369583
1997-09-01,E,GT,WMF,8602.1275963
1997-09-01,E,GT,N,
1997-09-01,E,GT,R,
1997-09-01,E,CHEM,WMF,1407.96310258
1997-09-01,E,CHEM,N,
1997-09-01,E,CHEM,R,
1997-09-01,E,ME,WMF,1941.70474687
1997-09-01,E,ME,N,
1997-09-01,E,ME,R,
1997-09-01,E,UHR,WMF,109.50811553
1997-09-01,E,UHR,N,
1997-09-01,E,UHR,R,
1997-09-01,E,PI,WMF,274.58447336
1997-09-01,E,PI,N,
1997-09-01,E,PI,R,
1997-09-01,E,MET,WMF,764.09880725
1997-09-01,E,MET,N,
1997-09-01,E,MET,R,
1997-09-01,E,FZ,WMF,922.55299941
1997-09-01,E,FZ,N,
1997-09-01,E,FZ,R,
1997-09-01,E,TBS,WMF,700.16633967
1997-09-01,E,TBS,N,
1997-09-01,E,TBS,R,
1997-09-01,A,GT,WMF,8638.23055484
1997-09-01,A,GT,N,
1997-09-01,A,GT,R,
1997-09-01,A,CHEM,WMF,2396.96851858
1997-09-01,A,CHEM,N,
1997-09-01,A,CHEM,R,
1997-09-01,A,ME,WMF,2679.40343887
1997-09-01,A,ME,N,
1997-09-01,A,ME,R,
1997-09-01,A,UHR,WMF,711.22426416
1997-09-01,A,UHR,N,
1997-09-01,A,UHR,R,
1997-09-01,A,PI,WMF,493.19716696
1997-09-01,A,PI,N,
1997-09-01,A,PI,R,
1997-09-01,A,MET,WMF,771.85478474
1997-09-01,A,MET,N,
1997-09-01,A,MET,R,
1997-09-01,A,FZ,WMF,208.33829502
1997-09-01,A,FZ,N,
1997-09-01,A,FZ,R,
1997-09-01,A,TBS,WMF,327.52807358
1997-09-01,A,TBS,N,
1997-09-01,A,TBS,R,
1997-09-01,H,GT,WMF,36.10295855
1997-10-01,E,GT,WMF,8732.7147298
1997-10-01,E,GT,N,
1997-10-01,E,GT,R,
1997-10-01,E,CHEM,WMF,1503.91635808
1997-10-01,E,CHEM,N,
1997-10-01,E,CHEM,R,
1997-10-01,E,ME,WMF,1926.94582973
1997-10-01,E,ME,N,
1997-10-01,E,ME,R,
1997-10-01,E,UHR,WMF,109.63762602
1997-10-01,E,UHR,N,
1997-10-01,E,UHR,R,
1997-10-01,E,PI,WMF,270.87684272
1997-10-01,E,PI,N,
1997-10-01,E,PI,R,
