"CubeId";"devkum"
"PublishingDate";"2022-10-03 14:30"

"Date";"D0";"D1";"Value"
"2021-04";"M0";"BRL100";"16.56554"
"2021-04";"M0";"MXN100";"4.59498"
"2021-04";"M0";"ZAR1";"0.06395"
"2021-04";"M0";"JPY100";"0.84553"
"2021-04";"M0";"AUD1";"0.70973"
"2021-04";"M0";"CNY100";"14.13592"
"2021-04";"M0";"HKD100";"11.85796"
"2021-04";"M0";"KRW100";"0.08246"
"2021-04";"M0";"MYR100";"22.35603"
"2021-04";"M0";"NZD1";"0.65705"
"2021-04";"M0";"SGD1";"0.69067"
"2021-04";"M0";"THB100";"2.93898"
"2021-04";"M0";"XDR1";"1.31872"
"2021-04";"M0";"USD3M";"0.9207"
"2021-04";"M0";"USD6M";"0.9183"
"2021-05";"M0";"EUR1";"1.09679"
"2021-05";"M0";"GBP1";"1.27102"
"2021-05";"M0";"DKK100";"14.74952"
"2021-05";"M0";"NOK100";"10.8777"
"2021-05";"M0";"CZK100";"4.28878"
"2021-05";"M0";"HUF100";"0.30983"
"2021-05";"M0";"PLN100";"24.2087"
"2021-05";"M0";"RUB1";"0.0122"
"2021-05";"M0";"SEK100";"10.81189"
"2021-05";"M0";"TRY100";"10.78434"
"2021-05";"M0";"USD1";"0.90282"
"2021-05";"M0";"CAD1";"0.74392"
"2021-05";"M0";"ARS1";"0.0096"
"2021-05";"M0";"BRL100";"17.02507"
"2021-05";"M0";"MXN100";"4.51997"
"2021-05";"M0";"ZAR1";"0.06419"
"2021-05";"M0";"JPY100";"0.82732"
"2021-05";"M0";"AUD1";"0.70088"
"2021-05";"M0";"CNY100";"14.0439"
"2021-05";"M0";"HKD100";"11.62675"
"2021-05";"M0";"KRW100";"0.08039"
"2021-05";"M0";"MYR100";"21.87165"
"2021-05";"M0";"NZD1";"0.65228"
"2021-05";"M0";"SGD1";"0.67893"
"2021-05";"M0";"THB100";"2.88732"
"2021-05";"M0";"XDR1";"1.30051"
"2021-05";"M0";"USD3M";"0.9006"
"2021-05";"M0";"USD6M";"0.8985"
"2021-06";"M0";"EUR1";"1.09398"
"2021-06";"M0";"GBP1";"1.27357"
"2021-06";"M0";"DKK100";"14.71126"
"2021-06";"M0";"NOK100";"10.78565"
"2021-06";"M0";"CZK100";"4.29922"
"2021-06";"M0";"HUF100";"0.31283"
"2021-06";"M0";"PLN100";"24.30604"
"2021-06";"M0";"RUB1";"0.01251"
"2021-06";"M0";"SEK100";"10.81675"
"2021-06";"M0";"TRY100";"10.53531"
"2021-06";"M0";"USD1";"0.9079"
"2021-06";"M0";"CAD1";"0.74305"
"2021-06";"M0";"ARS1";"0.00954"
