location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220108T2200,5.880245,0.8,17.294992,182.38594
20220108T2300,5.5802455,1.2,20.969805,191.88866
20220109T0000,5.750245,1.5,20.833395,198.12186
20220109T0100,6.2202454,1.4,27.80403,221.3255
20220109T0200,5.710245,1.2,26.368616,237.82878
20220109T0300,5.2002454,1.6,23.710857,239.93143
20220109T0400,4.6002455,1.6,22.73707,246.68228
20220109T0500,4.1602454,1.3,23.510508,258.518
20220109T0600,4.1902456,0.5,22.380884,258.87082
20220109T0700,4.2702456,0.0,19.255793,249.1932
20220109T0800,4.0502453,0.0,16.923828,240.70865
20220109T0900,4.2702456,0.0,14.84318,230.90614
20220109T1000,4.420245,0.1,13.830749,231.3402
20220109T1100,4.4802456,0.2,17.373497,235.98065
20220109T1200,4.5902452,0.2,16.267857,245.1363
20220109T1300,4.650245,0.2,15.937878,251.56506
20220109T1400,4.5902452,0.2,11.966953,248.83875
20220109T1500,4.0702453,0.3,10.948973,242.59244
20220109T1600,3.7902455,0.3,7.8954163,226.84761
20220109T1700,3.2002454,0.3,6.297428,210.96376
20220109T1800,2.7602453,0.3,6.4096174,218.15723
20220109T1900,2.4902453,0.8,6.1094027,225.0
20220109T2000,2.2102454,0.5,4.3349743,228.36647
20220109T2100,1.9402454,0.4,5.3517847,227.72632
20220109T2200,1.6502454,0.4,4.510787,241.38954
20220109T2300,1.8102454,0.2,5.315336,241.69925
20220110T0000,1.7802454,0.1,5.3517847,222.27368
20220110T0100,1.9202454,0.0,4.5536795,251.56506
20220110T0200,2.1002455,0.0,3.4152596,288.43497
20220110T0300,1.5902454,0.0,2.2768397,341.56506
20220110T0400,1.4902453,0.0,2.4149535,26.565033
20220110T0500,1.5902454,0.0,4.0249224,10.30484
20220110T0600,1.8602453,0.0,4.452954,14.03624
20220110T0700,1.7602454,0.0,3.9763298,5.194412
20220110T0800,1.7302454,0.0,3.319036,347.4712
20220110T0900,2.2502456,0.0,6.162207,353.29016
20220110T1000,2.8002453,0.0,6.8399997,360.0
20220110T1100,3.2602453,0.0,6.379216,16.389526
20220110T1200,4.150245,0.0,7.8954163,24.227737
20220110T1300,4.5902452,0.0,9.085988,33.690063
20220110T1400,4.8302455,0.0,9.290511,35.53766
20220110T1500,4.4402456,0.0,7.10031,30.465546
20220110T1600,3.1802454,0.0,6.130579,3.3664398
20220110T1700,2.0502453,0.0,7.928178,357.39746
20220110T1800,1.3602455,0.0,7.69592,10.7842865
20220110T1900,0.9102454,0.0,8.39657,30.963745
20220110T2000,0.2502454,0.0,7.8954163,43.15239
20220110T2100,-0.04975462,0.0,6.618519,44.999985
20220110T2200,-0.3097546,0.0,7.127636,44.999985
20220110T2300,-0.51975465,0.0,7.145796,40.914368
20220111T0000,-0.1297546,0.0,6.792466,32.005356
20220111T0100,-0.3197546,0.0,5.8048253,29.744873
20220111T0200,-0.39975458,0.0,6.9153743,38.659805
20220111T0300,-0.2697546,0.0,7.127636,44.999985
20220111T0400,-0.5797546,0.0,6.638072,40.601288
20220111T0500,-0.29975462,0.0,6.6185193,22.380127
20220111T0600,0.6302454,0.0,7.289444,20.224854
20220111T0700,0.9102454,0.0,7.754637,21.801407
20220111T0800,1.1202455,0.0,6.5693827,9.462311
20220111T0900,1.6902454,0.0,7.342588,11.309921
20220111T1000,1.9902455,0.0,10.30883,24.775131
20220111T1100,2.7702456,0.0,11.480557,41.18593
20220111T1200,3.4902453,0.0,11.720751,47.489548
20220111T1300,3.9802456,0.0,11.304229,52.76516
20220111T1400,4.3202453,0.0,10.514218,51.95294
20220111T1500,3.9102454,0.0,7.127636,44.999985
20220111T1600,1.5402454,0.0,6.4096174,38.157227
20220111T1700,0.6902454,0.0,7.289445,32.905228
20220111T1800,0.16024542,0.0,8.0899935,32.275635
20220111T1900,-0.48975456,0.0,7.9036193,30.068573
20220111T2000,-0.85975456,0.0,7.289445,32.905228
20220111T2100,-1.0097545,0.0,6.8777895,47.121094
20220111T2200,-1.3297546,0.0,6.763786,64.79888
20220111T2300,-1.7397546,0.0,6.519877,83.65981
20220112T0000,-2.1897545,0.0,5.8603754,79.38034
20220112T0100,-2.5497546,0.0,5.6920996,71.56504
20220112T0200,-2.7997546,0.0,6.151683,69.443954
20220112T0300,-2.9797544,0.0,5.8603754,79.38034
20220112T0400,-3.1897545,0.0,5.506941,78.69006
20220112T0500,-3.1097546,0.0,5.6920996,71.56504
20220112T0600,-3.1197548,0.0,5.5887027,75.06858
20220112T0700,-3.2597547,0.0,5.0528407,85.91438
20220112T0800,-1.9497546,0.0,3.7585104,73.30075
20220112T0900,-0.7197546,0.0,4.6938252,94.398705
20220112T1000,0.2702454,0.0,4.2136917,109.9831
20220112T1100,1.2202454,0.0,4.6102495,51.34018
20220112T1200,1.7502455,0.0,5.495161,31.607498
20220112T1300,2.4202454,0.0,5.1919937,33.690063
20220112T1400,2.8202453,0.0,6.297428,30.963745
20220112T1500,2.4702454,0.0,5.3999996,36.86989
20220112T1600,0.3002454,0.0,6.696387,53.746155
20220112T1700,-1.0097545,0.0,6.489992,70.55996
20220112T1800,-1.7997545,0.0,6.638072,49.398697
20220112T1900,-2.2097545,0.0,5.8048253,60.25511
20220112T2000,-2.5197544,0.0,4.452954,75.96376
20220112T2100,-3.0497546,0.0,5.495161,58.392494
20220112T2200,-3.3897548,0.0,3.396233,57.994614
20220112T2300,-3.6697545,0.0,3.7585104,73.30075
20220113T0000,-3.8997545,0.0,3.6179552,84.289406
20220113T0100,-3.979755,0.0,3.6179552,84.289406
20220113T0200,-3.9197545,0.0,3.671294,78.69006
20220113T0300,-4.1997547,0.0,3.7585104,73.30075
20220113T0400,-4.2597547,0.0,3.671294,78.69006
20220113T0500,-4.1997547,0.0,3.0758414,69.443954
20220113T0600,-4.0897546,0.0,3.4152596,71.56504
20220113T0700,-4.0897546,0.0,3.671294,78.69006
20220113T0800,-3.4397545,0.0,5.0142193,68.96249
20220113T0900,-1.4497546,0.0,5.634891,63.43495
20220113T1000,-0.0697546,0.0,5.0911684,81.869896
20220113T1100,1.0102454,0.0,5.8048253,82.874985
20220113T1200,2.1802454,0.0,6.151683,69.443954
20220113T1300,2.9702454,0.0,7.491114,54.782394
20220113T1400,3.3602452,0.0,7.145796,49.085617
20220113T1500,2.5802455,0.0,6.618519,44.999985
20220113T1600,0.2602454,0.0,7.9932966,54.16234
20220113T1700,-0.5597546,0.0,5.154415,65.224846
20220113T1800,-1.0097545,0.0,4.0249224,79.695145
20220113T1900,-1.4497546,0.0,3.6,89.99999
20220113T2000,-2.0797548,0.0,2.968636,104.03624
20220113T2100,-2.5697546,0.0,3.219938,116.56505
20220113T2200,-2.6697545,0.0,2.4149535,153.43495
20220113T2300,-2.9397545,0.0,4.510787,151.38954
20220114T0000,-3.0997548,0.0,3.7064266,150.94539
20220114T0100,-3.2597547,0.0,3.7064266,150.94539
20220114T0200,-3.3897548,0.0,3.7064266,150.94539
20220114T0300,-3.519755,0.0,4.198285,149.03624
20220114T0400,-3.8697548,0.0,5.0142193,158.9625
20220114T0500,-3.9897547,0.0,4.829907,153.43495
20220114T0600,-4.1897545,0.0,4.8965297,143.97263
20220114T0700,-4.1097546,0.0,4.5820518,135.0
20220114T0800,-3.3397546,0.0,4.8965297,143.97263
20220114T0900,-1.3897547,0.0,4.829907,153.43495
20220114T1000,0.17024541,0.0,4.510787,151.38954
20220114T1100,1.8202454,0.0,4.510787,151.38954
20220114T1200,3.1202455,0.0,2.8116899,129.80557
20220114T1300,4.110245,0.0,2.6208394,105.9454
20220114T1400,4.8102455,0.0,2.3051248,128.6598
20220114T1500,5.7802453,0.0,4.6102495,141.34018
20220114T1600,3.6202455,0.0,5.1165614,140.71059
20220114T1700,0.11024541,0.0,3.6,126.869896
20220114T1800,-0.64975464,0.0,2.5959969,123.69006
20220114T1900,-1.4597546,0.0,2.3051248,141.34018
20220114T2000,-1.9997545,0.0,2.5959969,146.30994
20220114T2100,-2.1397548,0.0,2.3051248,128.6598
20220114T2200,-2.2597547,0.0,3.0547013,135.0
20220114T2300,-2.3197546,0.0,4.5820518,135.0
20220115T0000,-2.5697546,0.0,4.1046314,127.874985
20220115T0100,-2.8097544,0.0,3.319036,130.60129
20220115T0200,-3.2497544,0.0,3.0547013,135.0
20220115T0300,-3.4297547,0.0,3.7064266,150.94539
20220115T0400,-3.6497545,0.0,4.3498964,155.55605
20220115T0500,-3.8097548,0.0,4.8965297,143.97263
20220115T0600,-3.7997546,0.0,5.0911684,135.0
20220115T0700,-4.1297545,0.0,5.3517847,132.27368
20220115T0800,-3.1497545,0.0,6.1305785,139.76364
20220115T0900,-1.4397546,0.0,4.8965297,143.97263
20220115T1000,-0.46975458,0.0,4.1046314,127.874985
20220115T1100,0.7202454,0.0,5.6233797,140.19443
20220115T1200,2.0402455,0.0,4.8965297,143.97263
20220115T1300,3.3102455,0.0,3.8268526,138.81407
20220115T1400,3.5502453,0.0,3.319036,139.3987
