location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20220624T0000,21.580528,15.400529,18.736364,6.6,16.23596,0.0,7.4204044,255.85422
20220625T0000,27.850529,12.330529,21.359695,0.0,16.904673,7.24486,12.612685,120.10395
20220626T0000,29.80053,18.520529,24.237196,0.0,12.864649,1.9386592,7.3340473,331.53983
20220627T0000,24.54053,18.170528,20.73303,0.1,22.782625,6.6087217,12.956183,304.40848
20220628T0000,26.98053,17.410528,21.74428,1.8000001,25.153671,0.71999997,7.987972,77.27178
20220629T0000,26.88053,18.690529,22.657196,0.4,12.0694,1.08,6.388272,228.8568
20220630T0000,31.170528,13.570529,22.261362,14.700001,28.808998,0.8049845,14.757569,209.23935
20220701T0000,21.030529,12.3005295,16.430529,3.3000002,17.731598,1.1384199,6.9196777,261.18356
20220702T0000,27.79053,11.910529,21.017612,0.0,17.698677,3.96,8.76551,102.17766
20220703T0000,30.590528,17.48053,24.550943,0.0,12.783802,0.8049845,5.5521626,234.00851
20220704T0000,26.79053,17.87053,22.585531,1.2000002,13.281023,3.4152596,8.128161,301.70145
20220705T0000,27.660528,18.520529,23.24553,0.0,7.653705,2.1897945,4.641939,285.9454
20220706T0000,25.81053,14.640529,20.363028,0.0,20.275385,2.3051248,13.974397,341.6989
20220707T0000,24.90053,14.0505295,20.458445,0.0,21.068459,2.0991426,10.801162,306.4655
20220708T0000,24.06053,11.530529,18.745943,0.0,9.885262,4.73506,7.713,17.516983
20220709T0000,27.57053,13.320529,21.355112,0.0,11.013882,1.2979984,7.016007,97.81042
20220710T0000,24.63053,14.390529,19.528028,0.0,24.503809,5.6920996,17.021833,355.46317
20220711T0000,27.47053,12.140529,20.654696,0.0,10.239453,0.5091169,5.985943,90.49966
