Datum;Gasverbrauch effektiv;Gasverbrauch erwartet;Differenz Gasverbrauch (effektiv - erwartet);Prognoseintervall tief;Prognoseintervall hoch;data split
2023-08-03;2.80167182249;2.19992094046929;0.601750882020706;0.224919614154862;4.17492226678373;Prognose
2023-08-05;2.52165018815;1.78550322200496;0.736146966145042;-0.192341694064812;3.76334813807473;Prognose
2023-08-11;2.46096947628;1.29664522700899;1.16432424927101;-0.675960108326573;3.26925056234455;Prognose
2023-08-14;2.27406638389;1.87701645145331;0.397049932436687;-0.0997304500830893;3.85376335298972;Prognose
2023-08-15;2.61402714926;1.88225529126864;0.731771857991363;-0.090188102638344;3.85469868517562;Prognose
2023-08-17;2.64624076717;1.87088944029767;0.775351326872329;-0.0995422350292265;3.84132111562457;Prognose
2023-08-23;2.2161803737;1.90946248365848;0.306717890041523;-0.0763803800556369;3.89530534737259;Prognose
2023-08-27;2.39166402982;2.459230317069;-0.0675662872490048;0.469119407731033;4.44934122640698;Prognose
2023-09-04;2.44030190647;3.09757337208384;-0.657271465613842;1.07710631109548;5.11804043307221;Prognose
2023-09-10;1.69128238678;2.29142918675897;-0.600146799978969;0.262225485716088;4.32063288780185;Prognose
2023-09-13;2.32193008458;3.4742553849231;-1.1523253003431;1.47126763865838;5.47724313118782;Prognose
2023-09-17;1.38337356029;2.39621391661198;-1.01284035632198;0.370520911195336;4.42190692202862;Prognose
2023-09-18;2.16512866101;3.67661125031505;-1.51148258930505;1.66926438946035;5.68395811116975;Prognose
2023-09-24;2.34847174748;4.74911105941196;-2.40063931193196;2.74623586899281;6.75198624983111;Prognose
2023-09-25;3.12208020314;5.08418787553938;-1.96210767239938;3.08098287794786;7.0873928731309;Prognose
2023-09-28;2.65365874831;3.65619778160776;-1.00253903329776;1.6487283953201;5.66366716789543;Prognose
2023-09-30;2.27777866988;2.84280035208288;-0.56502168220288;0.829994020290914;4.85560668387485;Prognose
2023-10-04;3.16307143963;5.70470089198704;-2.54162945235704;3.70511310966538;7.70428867430869;Prognose
2023-10-06;3.8909763052;5.99123076683314;-2.10025446163314;3.98834624811777;7.99411528554851;Prognose
2023-10-07;3.25447034175;5.0403463954674;-1.7858760537174;3.03352992942924;7.04716286150556;Prognose
2023-10-11;3.5064254225;4.57908753709131;-1.07266211459131;2.56825324172243;6.58992183246018;Prognose
2023-10-16;6.9750261291;9.63245701032606;-2.65743088122606;7.62072490544893;11.6441891152032;Prognose
2023-10-21;4.788336114;5.74990629694427;-0.961570182944267;3.73294049645323;7.7668720974353;Prognose
2023-10-22;5.3702500309;6.55083546504425;-1.18058543414425;4.54530602321576;8.55636490687274;Prognose
2023-10-23;6.8507442716;8.07114030552605;-1.22039603392605;6.07137569087843;10.0709049201737;Prognose
2023-10-28;4.7744638627;5.0440376931407;-0.269573830440698;2.98934698187981;7.09872840440159;Prognose
2023-10-29;4.1025711899;4.6326908261465;-0.530119636246499;2.56725290047298;6.69812875182001;Prognose
2023-10-31;5.6993942564;6.69046262207234;-0.991068365672336;4.65458542104503;8.72633982309964;Prognose
2023-11-02;7.1702672451;8.78803500548546;-1.61776776038546;6.77246879436985;10.8036012166011;Prognose
2023-11-06;7.3794731582;8.49384094676007;-1.11436778856007;6.4763019707996;10.5113799227205;Prognose
2023-11-07;8.5005310424;9.88859922167003;-1.38806817927003;7.87721612432814;11.8999823190119;Prognose
2023-11-11;8.5760992083;9.62850824100778;-1.05240903270778;7.61391130095592;11.6431051810596;Prognose
2023-11-12;9.5338149788;9.6816194983182;-0.147804519518195;7.67211733577077;11.6911216608656;Prognose
2023-11-14;7.1938781045;8.49700956699469;-1.30313146249469;6.48564565040441;10.508373483585;Prognose
2023-11-15;7.4114920247;9.18681081089587;-1.77531878619587;7.17639837338209;11.1972232484096;Prognose
2023-11-18;10.0102362176;11.1071859414808;-1.09694972388083;9.10336008203534;13.1110118009263;Prognose
2023-11-24;9.9142864906;10.7869716682779;-0.872685177677951;8.7736693002609;12.800274036295;Prognose
2023-11-30;14.9874465553;14.8491595983478;0.138286956952152;12.8367559395225;16.8615632571732;Prognose
2023-12-03;17.7303050033;20.9097558015049;-3.1794507982049;18.8974668056287;22.9220447973811;Prognose
2023-12-04;18.7404279641;19.5546553900816;-0.814227425981649;17.556537036711;21.5527737434523;Prognose
2023-12-13;9.5369473796;11.6828899609854;-2.14594258138545;9.68172642695702;13.6840534950139;Prognose
2023-12-15;11.6509700077;13.4614916880955;-1.81052168039551;11.4656181993953;15.4573651767958;Prognose
2023-12-19;14.9350775011;16.0799972292435;-1.14491972814347;14.086550592456;18.073443866031;Prognose
2023-12-20;12.6586336372;13.8024683099153;-1.14383467271528;11.8058637816301;15.7990728382004;Prognose
2023-12-21;10.8444756298;11.4572138387866;-0.612738208986572;9.44460389221882;13.4698237853543;Prognose
2023-12-22;10.0265499697;11.4389439888833;-1.4123940191833;9.43649332586331;13.4413946519033;Prognose
