"CubeId";"devwkibiim"
"PublishingDate";"2024-11-07 09:00"

"Date";"D0";"D1";"D2";"Value"
"2006-06";"N";"US";"I";"136.72023443"
"2006-06";"K";"CN";"I";"128.1287987"
"2006-06";"K";"DE";"I";"93.71214431"
"2006-06";"K";"GB";"I";"103.2875434"
"2006-06";"K";"US";"I";"124.10350221"
"2006-07";"N";"CN";"I";"131.28605758"
"2006-07";"N";"DE";"I";"96.55985228"
"2006-07";"N";"GB";"I";"108.06274389"
"2006-07";"N";"US";"I";"136.19909328"
"2006-07";"K";"CN";"I";"127.58947321"
"2006-07";"K";"DE";"I";"93.08318995"
"2006-07";"K";"GB";"I";"102.58003376"
"2006-07";"K";"US";"I";"123.26441452"
"2006-08";"N";"CN";"I";"131.62754858"
"2006-08";"N";"DE";"I";"96.02926216"
"2006-08";"N";"GB";"I";"105.77233241"
"2006-08";"N";"US";"I";"136.84153583"
"2006-08";"K";"CN";"I";"128.01378627"
"2006-08";"K";"DE";"I";"92.83559221"
"2006-08";"K";"GB";"I";"100.42986855"
"2006-08";"K";"US";"I";"123.70125448"
"2006-09";"N";"CN";"I";"129.64535085"
"2006-09";"N";"DE";"I";"95.63823906"
"2006-09";"N";"GB";"I";"105.04913279"
"2006-09";"N";"US";"I";"135.43328801"
"2006-09";"K";"CN";"I";"125.71127568"
"2006-09";"K";"DE";"I";"92.31526947"
"2006-09";"K";"GB";"I";"99.31780202"
"2006-09";"K";"US";"I";"122.77487993"
"2006-10";"N";"CN";"I";"127.39555194"
"2006-10";"N";"DE";"I";"95.27851987"
"2006-10";"N";"GB";"I";"104.28212695"
"2006-10";"N";"US";"I";"133.62982615"
"2006-10";"K";"CN";"I";"123.17983055"
