"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"1998","S.1","P.5","9.93604840613446","A","ACPP"
"1998","S.13","P.3","49865.76621546","A","MCHF"
"1998","S.13","P.3","50178.9234800697","A","Y"
"1998","S.13","P.3","0.219550465435116","A","AC"
"1998","S.13","P.3","0.848929750385011","A","ACPP"
"1998","S.14+S15","P.3","252881.022096302","A","MCHF"
"1998","S.14+S15","P.3","252896.630310339","A","Y"
"1998","S.14+S15","P.3","2.33310995596828","A","AC"
"1998","S.14+S15","P.3","2.33942611631135","A","ACPP"
"1998","S.2","P.7","185753.056751428","A","MCHF"
"1998","S.2","P.7","189139.158813346","A","Y"
"1998","S.2","P.7","3.43626414359047","A","AC"
"1998","S.2","P.7","5.32180914305955","A","ACPP"
"1998","S.2","P.71","137320.488110593","A","MCHF"
"1998","S.2","P.71","141733.521744282","A","Y"
"1998","S.2","P.71","0.672265177047762","A","AC"
"1998","S.2","P.71","3.90754418252415","A","ACPP"
"1998","S.2","P.71c","117416.456016377","A","MCHF"
"1998","S.2","P.71c","119525.518889553","A","Y"
"1998","S.2","P.71c","5.11835488228578","A","AC"
"1998","S.2","P.71c","7.00651627885056","A","ACPP"
"1998","S.2","P.72","48432.5686408349","A","MCHF"
"1998","S.2","P.72","47405.6370690643","A","Y"
"1998","S.2","P.72","12.1678748197592","A","AC"
"1998","S.2","P.72","9.78954273407043","A","ACPP"
"1998","S.2","P.6","202355.852922667","A","MCHF"
"1998","S.2","P.6","204141.382479781","A","Y"
"1998","S.2","P.6","1.72953973862019","A","AC"
"1998","S.2","P.6","2.62717179329695","A","ACPP"
"1998","S.2","P.61","138885.741196983","A","MCHF"
"1998","S.2","P.61","141650.390472544","A","Y"
"1998","S.2","P.61","-1.06267669588101","A","AC"
"1998","S.2","P.61","0.906762332497949","A","ACPP"
"1998","S.2","P.61c","116929.579506983","A","MCHF"
"1998","S.2","P.61c","117218.67246661","A","Y"
"1998","S.2","P.61c","2.65198011049495","A","AC"
"1998","S.2","P.61c","2.90577358915826","A","ACPP"
"1998","S.2","P.62","63470.1117256845","A","MCHF"
"1998","S.2","P.62","62490.9920072368","A","Y"
"1998","S.2","P.62","8.42543240249216","A","AC"
"1998","S.2","P.62","6.75281081793716","A","ACPP"
"1999","S.1","B.1*b","447465.786937466","A","MCHF"
"1999","S.1","B.1*b","447270.01338315","A","Y"
"1999","S.1","B.1*b","1.70719967046425","A","AC"
"1999","S.1","B.1*b","1.66270111759099","A","ACPP"
"1999","S.1","P.3","309533.17241972","A","MCHF"
"1999","S.1","P.3","309231.773519303","A","Y"
"1999","S.1","P.3","2.24160399712286","A","AC"
"1999","S.1","P.3","2.1420492166748","A","ACPP"
"1999","S.1","P.51b","121952.499699569","A","MCHF"
"1999","S.1","P.51b","121428.117165179","A","Y"
"1999","S.1","P.51b","3.35248341077778","A","AC"
"1999","S.1","P.51b","2.9080789310011","A","ACPP"
"1999","S.1","P.5111be","81087.3658515591","A","MCHF"
