"CubeId";"amarbma"
"PublishingDate";"2024-11-21 09:00"

"Date";"D0";"Value"
"2011-08";"S1";"2.72264052"
"2011-08";"E";"4322899"
"2011-09";"T1";"2.57567896"
"2011-09";"S1";"2.71544628"
"2011-09";"E";"4322899"
"2011-10";"T1";"2.66436944"
"2011-10";"S1";"2.74505604"
"2011-10";"E";"4322899"
"2011-11";"T1";"2.80156904"
"2011-11";"S1";"2.78192944"
"2011-11";"E";"4322899"
"2011-12";"T1";"3.022555"
"2011-12";"S1";"2.81001245"
"2011-12";"E";"4322899"
"2012-01";"T1";"3.10710475"
"2012-01";"S1";"2.81401439"
"2012-01";"E";"4322899"
"2012-02";"T1";"3.0802015"
"2012-02";"S1";"2.8321041"
"2012-02";"E";"4322899"
"2012-03";"T1";"2.9237787"
"2012-03";"S1";"2.81588813"
"2012-03";"E";"4322899"
"2012-04";"T1";"2.84896779"
"2012-04";"S1";"2.83501881"
"2012-04";"E";"4322899"
"2012-05";"T1";"2.74954377"
"2012-05";"S1";"2.8606729"
"2012-05";"E";"4322899"
"2012-06";"T1";"2.65719833"
"2012-06";"S1";"2.86895438"
"2012-06";"E";"4322899"
"2012-07";"T1";"2.69018545"
"2012-07";"S1";"2.89340556"
"2012-07";"E";"4322899"
"2012-08";"T1";"2.77182048"
"2012-08";"S1";"2.92354737"
"2012-08";"E";"4322899"
"2012-09";"T1";"2.78394198"
"2012-09";"S1";"2.93772767"
"2012-09";"E";"4322899"
"2012-10";"T1";"2.90397717"
"2012-10";"S1";"2.99428694"
"2012-10";"E";"4322899"
"2012-11";"T1";"3.05505634"
"2012-11";"S1";"3.03523168"
"2012-11";"E";"4322899"
"2012-12";"T1";"3.29198068"
"2012-12";"S1";"3.0607701"
"2012-12";"E";"4322899"
"2013-01";"T1";"3.4272834"
"2013-01";"S1";"3.09602422"
"2013-01";"E";"4322899"
"2013-02";"T1";"3.37738633"
"2013-02";"S1";"3.10583245"
"2013-02";"E";"4322899"
"2013-03";"T1";"3.2152729"
"2013-03";"S1";"3.09651"
"2013-03";"E";"4322899"
"2013-04";"T1";"3.14259019"
"2013-04";"S1";"3.12868748"
"2013-04";"E";"4322899"
"2013-05";"T1";"3.03708229"
"2013-05";"S1";"3.15811218"
"2013-05";"E";"4322899"
"2013-06";"T1";"2.92623075"
"2013-06";"S1";"3.16137388"
"2013-06";"E";"4322899"
"2013-07";"T1";"2.97291239"
"2013-07";"S1";"3.19063665"
"2013-07";"E";"4322899"
"2013-08";"T1";"3.00622337"
"2013-08";"S1";"3.17715033"
"2013-08";"E";"4322899"
"2013-09";"T1";"3.03203938"
"2013-09";"S1";"3.19294992"
"2013-09";"E";"4322899"
"2013-10";"T1";"3.08688683"
"2013-10";"S1";"3.18922556"
"2013-10";"E";"4322899"
"2013-11";"T1";"3.21712351"
"2013-11";"S1";"3.20069935"
"2013-11";"E";"4322899"
"2013-12";"T1";"3.45687003"
"2013-12";"S1";"3.21159481"
"2013-12";"E";"4322899"
"2014-01";"T1";"3.41089488"
"2014-01";"S1";"3.07930854"
"2014-01";"E";"4493249"
"2014-02";"T1";"3.32185018"
"2014-02";"S1";"3.05747578"
"2014-02";"E";"4493249"
"2014-03";"T1";"3.17912495"
"2014-03";"S1";"3.05769834"
"2014-03";"E";"4493249"
"2014-04";"T1";"3.05095489"
"2014-04";"S1";"3.03820242"
"2014-04";"E";"4493249"
"2014-05";"T1";"2.90012862"
"2014-05";"S1";"3.01890681"
"2014-05";"E";"4493249"
"2014-06";"T1";"2.81827248"
"2014-06";"S1";"3.03829145"
"2014-06";"E";"4493249"
"2014-07";"T1";"2.82766435"
"2014-07";"S1";"3.03639972"
"2014-07";"E";"4493249"
"2014-08";"T1";"2.85837709"
"2014-08";"S1";"3.01919613"
"2014-08";"E";"4493249"
"2014-09";"T1";"2.89245043"
"2014-09";"S1";"3.04628121"
"2014-09";"E";"4493249"
"2014-10";"T1";"2.94657607"
"2014-10";"S1";"3.0454355"
"2014-10";"E";"4493249"
"2014-11";"T1";"3.03904814"
"2014-11";"S1";"3.03116965"
"2014-11";"E";"4493249"
"2014-12";"T1";"3.27978708"
"2014-12";"S1";"3.04452302"
"2014-12";"E";"4493249"
"2015-01";"T1";"3.3593954"
"2015-01";"S1";"3.03522017"
"2015-01";"E";"4493249"
"2015-02";"T1";"3.33658339"
"2015-02";"S1";"3.06771336"
"2015-02";"E";"4493249"
"2015-03";"T1";"3.22946714"
"2015-03";"S1";"3.10643813"
"2015-03";"E";"4493249"
"2015-04";"T1";"3.14095658"
"2015-04";"S1";"3.12893855"
"2015-04";"E";"4493249"
"2015-05";"T1";"3.03453025"
"2015-05";"S1";"3.15617941"
"2015-05";"E";"4493249"
"2015-06";"T1";"2.96569364"
"2015-06";"S1";"3.19530478"
"2015-06";"E";"4493249"
"2015-07";"T1";"2.97677694"
"2015-07";"S1";"3.1987544"
"2015-07";"E";"4493249"
"2015-08";"T1";"3.0486403"
"2015-08";"S1";"3.21440009"
"2015-08";"E";"4493249"
"2015-09";"T1";"3.07630403"
"2015-09";"S1";"3.24092878"
"2015-09";"E";"4493249"
"2015-10";"T1";"3.14402785"
"2015-10";"S1";"3.25570651"
"2015-10";"E";"4493249"
"2015-11";"T1";"3.29701292"
"2015-11";"S1";"3.28755428"
"2015-11";"E";"4493249"
"2015-12";"T1";"3.53038525"
"2015-12";"S1";"3.28243549"
"2015-12";"E";"4493249"
"2016-01";"T1";"3.64199714"
"2016-01";"S1";"3.28397113"
"2016-01";"E";"4493249"
"2016-02";"T1";"3.59243389"
"2016-02";"S1";"3.30237652"
"2016-02";"E";"4493249"
"2016-03";"T1";"3.45683046"
"2016-03";"S1";"3.32296296"
"2016-03";"E";"4493249"
"2016-04";"T1";"3.32810401"
"2016-04";"S1";"3.31880116"
"2016-04";"E";"4493249"
"2016-05";"T1";"3.22212279"
"2016-05";"S1";"3.34541887"
"2016-05";"E";"4493249"
"2016-06";"T1";"3.09635633"
"2016-06";"S1";"3.33983271"
"2016-06";"E";"4493249"
"2016-07";"T1";"3.10042911"
"2016-07";"S1";"3.33155363"
"2016-07";"E";"4493249"
"2016-08";"T1";"3.17939202"
"2016-08";"S1";"3.34844563"
"2016-08";"E";"4493249"
"2016-09";"T1";"3.17531924"
"2016-09";"S1";"3.34895751"
"2016-09";"E";"4493249"
"2016-10";"T1";"3.21662565"
"2016-10";"S1";"3.33293347"
"2016-10";"E";"4493249"
"2016-11";"T1";"3.32116026"
"2016-11";"S1";"3.31831154"
"2016-11";"E";"4493249"
"2016-12";"T1";"3.54692117"
"2016-12";"S1";"3.29803668"
"2016-12";"E";"4493249"
"2017-01";"T1";"3.5475076"
"2017-01";"S1";"3.19160501"
"2017-01";"E";"4636100"
"2017-02";"T1";"3.44705679"
"2017-02";"S1";"3.16636828"
"2017-02";"E";"4636100"
"2017-03";"T1";"3.28465736"
"2017-03";"S1";"3.1583443"
"2017-03";"E";"4636100"
"2017-04";"T1";"3.15625202"
"2017-04";"S1";"3.14434546"
"2017-04";"E";"4636100"
"2017-05";"T1";"3.01499105"
"2017-05";"S1";"3.13092901"
"2017-05";"E";"4636100"
"2017-06";"T1";"2.8817972"
"2017-06";"S1";"3.11093376"
"2017-06";"E";"4636100"
"2017-07";"T1";"2.88876426"
"2017-07";"S1";"3.10271564"
"2017-07";"E";"4636100"
"2017-08";"T1";"2.92439766"
"2017-08";"S1";"3.07832014"
"2017-08";"E";"4636100"
"2017-09";"T1";"2.87243588"
"2017-09";"S1";"3.03487845"
"2017-09";"E";"4636100"
"2017-10";"T1";"2.90761632"
"2017-10";"S1";"3.01326546"
"2017-10";"E";"4636100"
"2017-11";"T1";"2.96190764"
"2017-11";"S1";"2.96766679"
"2017-11";"E";"4636100"
"2017-12";"T1";"3.16330536"
"2017-12";"S1";"2.93727486"
"2017-12";"E";"4636100"
"2018-01";"T1";"3.21738099"
"2018-01";"S1";"2.89187032"
"2018-01";"E";"4636100"
"2018-02";"T1";"3.10454908"
"2018-02";"S1";"2.84547357"
"2018-02";"E";"4636100"
"2018-03";"T1";"2.81298937"
"2018-03";"S1";"2.70503225"
"2018-03";"E";"4636100"
"2018-04";"T1";"2.58365868"
"2018-04";"S1";"2.57164427"
"2018-04";"E";"4636100"
"2018-05";"T1";"2.35956947"
"2018-05";"S1";"2.45003343"
"2018-05";"E";"4636100"
"2018-06";"T1";"2.29889347"
"2018-06";"S1";"2.48143914"
"2018-06";"E";"4636100"
"2018-07";"T1";"2.28752615"
"2018-07";"S1";"2.4581437"
"2018-07";"E";"4636100"
"2018-08";"T1";"2.32723625"
"2018-08";"S1";"2.45046483"
"2018-08";"E";"4636100"
"2018-09";"T1";"2.29904446"
"2018-09";"S1";"2.4303833"
"2018-09";"E";"4636100"
"2018-10";"T1";"2.31476888"
"2018-10";"S1";"2.40536227"
"2018-10";"E";"4636100"
"2018-11";"T1";"2.38290805"
"2018-11";"S1";"2.39108302"
"2018-11";"E";"4636100"
"2018-12";"T1";"2.5810703"
"2018-12";"S1";"2.39891288"
"2018-12";"E";"4636100"
"2019-01";"T1";"2.67384224"
"2019-01";"S1";"2.3986109"
"2019-01";"E";"4636100"
"2019-02";"T1";"2.57701516"
"2019-02";"S1";"2.36006557"
"2019-02";"E";"4636100"
"2019-03";"T1";"2.42317897"
"2019-03";"S1";"2.32896184"
"2019-03";"E";"4636100"
"2019-04";"T1";"2.31440219"
"2019-04";"S1";"2.30027394"
"2019-04";"E";"4636100"
"2019-05";"T1";"2.1865361"
"2019-05";"S1";"2.2682427"
"2019-05";"E";"4636100"
"2019-06";"T1";"2.09706434"
"2019-06";"S1";"2.26090895"
"2019-06";"E";"4636100"
"2019-07";"T1";"2.10474321"
"2019-07";"S1";"2.25980889"
"2019-07";"E";"4636100"
"2019-08";"T1";"2.1473221"
"2019-08";"S1";"2.26073639"
"2019-08";"E";"4636100"
"2019-09";"T1";"2.13752939"
"2019-09";"S1";"2.26263454"
"2019-09";"E";"4636100"
"2019-10";"T1";"2.19330903"
"2019-10";"S1";"2.28260823"
"2019-10";"E";"4636100"
"2019-11";"T1";"2.29352257"
"2019-11";"S1";"2.3088156"
"2019-11";"E";"4636100"
"2019-12";"T1";"2.52964776"
"2019-12";"S1";"2.35245141"
"2019-12";"E";"4636100"
"2020-01";"T1";"2.63239465"
"2020-01";"S1";"2.36601853"
"2020-01";"E";"4597259"
"2020-02";"T1";"2.56287497"
"2020-02";"S1";"2.34428819"
"2020-02";"E";"4597259"
"2020-03";"T1";"2.9501057"
"2020-03";"S1";"2.83512415"
"2020-03";"E";"4597259"
"2020-04";"T1";"3.33705367"
"2020-04";"S1";"3.31334389"
"2020-04";"E";"4597259"
"2020-05";"T1";"3.39328282"
"2020-05";"S1";"3.51139668"
"2020-05";"E";"4597259"
"2020-06";"T1";"3.26910013"
"2020-06";"S1";"3.51522505"
"2020-06";"E";"4597259"
"2020-07";"T1";"3.23823391"
"2020-07";"S1";"3.4725692"
"2020-07";"E";"4597259"
"2020-08";"T1";"3.28698035"
"2020-08";"S1";"3.45542855"
"2020-08";"E";"4597259"
"2020-09";"T1";"3.23149076"
"2020-09";"S1";"3.41949409"
"2020-09";"E";"4597259"
"2020-10";"T1";"3.24362843"
"2020-10";"S1";"3.3831246"
"2020-10";"E";"4597259"
"2020-11";"T1";"3.33394312"
"2020-11";"S1";"3.35828371"
"2020-11";"E";"4597259"
"2020-12";"T1";"3.55744586"
"2020-12";"S1";"3.32302357"
"2020-12";"E";"4597259"
"2021-01";"T1";"3.69248285"
"2021-01";"S1";"3.32398066"
"2021-01";"E";"4597259"
"2021-02";"T1";"3.65332908"
"2021-02";"S1";"3.34183913"
"2021-02";"E";"4597259"
"2021-03";"T1";"3.43613444"
"2021-03";"S1";"3.30692702"
"2021-03";"E";"4597259"
"2021-04";"T1";"3.2906347"
"2021-04";"S1";"3.26694667"
"2021-04";"E";"4597259"
"2021-05";"T1";"3.10980956"
"2021-05";"S1";"3.20738945"
"2021-05";"E";"4597259"
"2021-06";"T1";"2.8673825"
"2021-06";"S1";"3.08316325"
"2021-06";"E";"4597259"
"2021-07";"T1";"2.79033659"
"2021-07";"S1";"2.98138521"
"2021-07";"E";"4597259"
"2021-08";"T1";"2.74848556"
"2021-08";"S1";"2.88484943"
"2021-08";"E";"4597259"
"2021-09";"T1";"2.61664614"
"2021-09";"S1";"2.76488664"
"2021-09";"E";"4597259"
"2021-10";"T1";"2.53918694"
"2021-10";"S1";"2.64662052"
"2021-10";"E";"4597259"
"2021-11";"T1";"2.52855016"
"2021-11";"S1";"2.55104183"
"2021-11";"E";"4597259"
"2021-12";"T1";"2.64783864"
"2021-12";"S1";"2.4758666"
"2021-12";"E";"4597259"
"2022-01";"T1";"2.65958477"
"2022-01";"S1";"2.39884244"
"2022-01";"E";"4597259"
"2022-02";"T1";"2.56609427"
"2022-02";"S1";"2.35133587"
"2022-02";"E";"4597259"
"2022-03";"T1";"2.38185406"
"2022-03";"S1";"2.29771697"
"2022-03";"E";"4597259"
"2022-04";"T1";"2.27072262"
"2022-04";"S1";"2.25551791"
"2022-04";"E";"4597259"
"2022-05";"T1";"2.13179201"
"2022-05";"S1";"2.20281259"
"2022-05";"E";"4597259"
"2022-06";"T1";"2.01230777"
"2022-06";"S1";"2.16144011"
"2022-06";"E";"4597259"
"2022-07";"T1";"1.98975085"
"2022-07";"S1";"2.12252562"
